,date,portfolio_value,weights
273,2009-07-31,203.28865698145816,
274,2009-08-31,203.1816522955146,
275,2009-09-30,205.5253683258755,
276,2009-10-31,204.0138063828156,"{'market': 0.2, 'cop_at': 0.2, 'resff3_12_1': 0.2, 'ival_me': 0.2, 'netdebt_me': 0.2}"
277,2009-11-30,202.15927906922326,
278,2009-12-31,205.15015795851,
279,2010-01-31,204.20727748207523,
280,2010-02-28,204.64323407265078,
281,2010-03-31,204.48928073709675,
282,2010-04-30,204.48427954527904,
283,2010-05-31,205.98841494108956,
284,2010-06-30,207.08411326069148,
285,2010-07-31,205.12874267051825,
286,2010-08-31,204.5232035815093,
287,2010-09-30,206.6083411998993,
288,2010-10-31,207.25114781710724,"{'market': 0.2, 'cop_at': 0.2, 'resff3_12_1': 0.2, 'ival_me': 0.2, 'cash_at': 0.2}"
289,2010-11-30,207.95762734723516,
290,2010-12-31,206.05043227227208,
291,2011-01-31,204.46799033381825,
292,2011-02-28,204.6743708423962,
293,2011-03-31,205.4681846676639,
294,2011-04-30,205.91035198066655,
295,2011-05-31,205.9705436449352,
296,2011-06-30,206.12991722072152,
297,2011-07-31,205.31440887974935,
298,2011-08-31,203.64242364066845,
299,2011-09-30,203.86408578786566,
300,2011-10-31,205.52083433168454,"{'market': 0.2, 'cop_at': 0.2, 'resff3_12_1': 0.2, 'ival_me': 0.2, 'cash_at': 0.2}"
301,2011-11-30,204.48512273984,
302,2011-12-31,205.13971825301195,
303,2012-01-31,207.8173402290422,
304,2012-02-29,206.7410074276368,
305,2012-03-31,208.46818232273466,
306,2012-04-30,206.68784666847915,
307,2012-05-31,205.36698490147614,
308,2012-06-30,205.59085996355506,
309,2012-07-31,204.19946636465787,
310,2012-08-31,204.4137755534561,
311,2012-09-30,204.15669359574426,
312,2012-10-31,201.69707737463773,"{'market': 0.2, 'cop_at': 0.2, 'resff3_12_1': 0.2, 'ival_me': 0.2, 'cash_at': 0.2}"
313,2012-11-30,203.09188304456075,
314,2012-12-31,203.22470923464468,
315,2013-01-31,203.32900235847904,
316,2013-02-28,203.33539392873732,
317,2013-03-31,203.25176659768934,
318,2013-04-30,202.5519667405687,
319,2013-05-31,205.02952116940625,
320,2013-06-30,205.46555508889776,
321,2013-07-31,206.99134313700895,
322,2013-08-31,206.92347545643375,
323,2013-09-30,208.71061628018154,
324,2013-10-31,207.7518926349576,"{'market': 0.16666666666666666, 'cop_at': 0.16666666666666666, 'seas_6_10na': 0.16666666666666666, 'seas_11_15na': 0.16666666666666666, 'capex_abn': 0.16666666666666666, 'prc_highprc_252d': 0.16666666666666666}"
325,2013-11-30,209.10298140246468,
326,2013-12-31,208.9134616188556,
327,2014-01-31,208.60223742272748,
328,2014-02-28,209.35057750810563,
329,2014-03-31,210.14910754950276,
330,2014-04-30,209.60908344615976,
331,2014-05-31,209.70660800480033,
332,2014-06-30,208.76580425908793,
333,2014-07-31,207.9863175346804,
334,2014-08-31,207.56448188122127,
335,2014-09-30,209.9394230447984,
336,2014-10-31,212.2795341709506,"{'market': 0.25, 'cop_at': 0.25, 'seas_6_10na': 0.25, 'seas_11_15na': 0.25}"
337,2014-11-30,213.95900361100115,
338,2014-12-31,216.7605558021173,
339,2015-01-31,217.18148214925222,
340,2015-02-28,216.88798345697643,
341,2015-03-31,218.44226401806574,
342,2015-04-30,215.92978163761828,
343,2015-05-31,217.2438657468541,
344,2015-06-30,217.7505770093827,
345,2015-07-31,217.5227532395911,
346,2015-08-31,217.48955968245983,
347,2015-09-30,218.90942403697312,
348,2015-10-31,218.82967719747865,"{'market': 0.5, 'ebit_bev': 0.5}"
349,2015-11-30,223.36596716794278,
350,2015-12-31,223.99419078141565,
351,2016-01-31,223.18540721497493,
352,2016-02-29,223.32688970895165,
353,2016-03-31,222.3273547652398,
354,2016-04-30,219.2072158105688,
355,2016-05-31,219.95670778242115,
356,2016-06-30,218.05892267114126,
357,2016-07-31,220.16515448749905,
358,2016-08-31,222.33904906691285,
359,2016-09-30,221.7594279907206,
360,2016-10-31,219.62731218030194,"{'market': 0.25, 'seas_6_10na': 0.25, 'cop_at': 0.25, 'at_me': 0.25}"
361,2016-11-30,225.16991838801337,
362,2016-12-31,228.37151248596265,
363,2017-01-31,226.03915085067743,
364,2017-02-28,225.6162375919767,
365,2017-03-31,225.00067862000188,
366,2017-04-30,224.1820141916653,
367,2017-05-31,221.53078257893222,
368,2017-06-30,223.13750422237587,
369,2017-07-31,223.07831403365074,
370,2017-08-31,221.15493210317274,
371,2017-09-30,224.5102034757171,
372,2017-10-31,223.37057495233563,"{'market': 0.2, 'seas_6_10na': 0.2, 'cop_at': 0.2, 'at_me': 0.2, 'netdebt_me': 0.2}"
373,2017-11-30,222.9449625465757,
374,2017-12-31,222.12606839303302,
375,2018-01-31,222.33212407777256,
376,2018-02-28,223.7578769710994,
377,2018-03-31,224.68502154049673,
378,2018-04-30,226.0910058904307,
379,2018-05-31,228.23814073629788,
380,2018-06-30,227.91683052127715,
381,2018-07-31,227.77806719688633,
382,2018-08-31,228.92314381046904,
383,2018-09-30,227.8507005783979,
384,2018-10-31,227.25574525125117,"{'market': 0.25, 'seas_6_10na': 0.25, 'cop_at': 0.25, 'at_be': 0.25}"
385,2018-11-30,225.40050043076178,
386,2018-12-31,226.92999072106576,
387,2019-01-31,225.2240109570167,
388,2019-02-28,226.11931318553633,
389,2019-03-31,227.4242675982165,
390,2019-04-30,223.3970981163018,
391,2019-05-31,222.21565056386308,
392,2019-06-30,221.60719126954928,
393,2019-07-31,219.7368094688238,
394,2019-08-31,220.03884225865204,
395,2019-09-30,218.9367754122909,
396,2019-10-31,218.16173963134258,"{'market': 0.2, 'sale_bev': 0.2, 'oaccruals_ni': 0.2, 'ebit_bev': 0.2, 'seas_16_20an': 0.2}"
397,2019-11-30,220.1175408040539,
398,2019-12-31,220.3857316091394,
399,2020-01-31,217.57158915333287,
400,2020-02-29,217.64752363592217,
401,2020-03-31,213.46002697657957,
402,2020-04-30,216.50610228171868,
403,2020-05-31,215.63053915052,
404,2020-06-30,218.00549194022577,
405,2020-07-31,216.8142510743445,
406,2020-08-31,218.35296472262746,
407,2020-09-30,216.4639692110175,
408,2020-10-31,216.2715152996371,"{'market': 0.5, 'sale_bev': 0.5}"
409,2020-11-30,224.23991748994453,
410,2020-12-31,231.0082669722143,
411,2021-01-31,243.41957716706875,
412,2021-02-28,247.82711141596266,
413,2021-03-31,243.9151821068127,
414,2021-04-30,240.24927565019414,
415,2021-05-31,238.03698526265026,
416,2021-06-30,241.22379953702787,
417,2021-07-31,236.55288680261623,
418,2021-08-31,236.36185521455744,
419,2021-09-30,235.12350247088378,
420,2021-10-31,232.312811690857,
